min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;InnovNationGraph;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;persuasionGraph;tokenGraph;commentGraph
4;5;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];87;93;8;1;0;18;0;[];5;10;0;1;0;0;0;65;0;0;2;0;0.0;0.0;0.0;0.0;18.0;18.0;18.0;18.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 8 (id=45) items: { }, parents: { 35 } by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[];[]
4;6;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];87;93;8;1;0;18;0;[];6;6;4;0;0;2;1;5;0;0;0;0;0.0;300.0;20.2020202020202;4.0;18.0;7.0;3.0;10.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 8 (id=45) items: { }, parents: { 35 } by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[];[]
4;7;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];87;93;8;1;0;18;0;[];7;0;10;0;0;3;3;11;0;0;0;0;0.0;492.0;35.16544011544011;13.769877344877344;18.0;1.0;1.0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 8 (id=45) items: { }, parents: { 35 } by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[];[]
4;8;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];87;93;8;1;0;18;0;[];8;3;7;0;0;1;1;43;0;0;0;0;0.0;0.0;0.0;14.583333333333334;18.0;18.0;18.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 8 (id=45) items: { }, parents: { 35 } by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[];[]
4;9;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];87;93;8;1;0;18;0;[];9;0;10;0;0;1;1;24;0;0;0;0;0.0;0.0;0.0;25.928571428571427;18.0;18.0;18.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 8 (id=45) items: { }, parents: { 35 } by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[];[]
4;10;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];87;93;8;1;0;18;0;[];10;10;0;1;0;0;0;23;0;0;1;0;0.0;0.0;0.0;0.0;18.0;18.0;18.0;18.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 8 (id=45) items: { }, parents: { 35 } by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[];[]
4;11;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];87;93;8;1;0;18;0;[];11;3;7;0;0;1;1;45;0;0;0;0;0.0;0.0;0.0;12.833333333333334;18.0;18.0;18.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 8 (id=45) items: { }, parents: { 35 } by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[];[]
4;12;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];87;93;8;1;0;18;0;[];12;10;0;2;0;0;0;84;0;0;3;0;0.0;0.0;0.0;0.0;18.0;18.0;18.0;18.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 8 (id=45) items: { }, parents: { 35 } by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[];[]
4;13;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];87;93;8;1;0;18;0;[];13;4;6;0;0;1;1;47;0;0;0;0;0.0;0.0;0.0;9.0;18.0;18.0;18.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 8 (id=45) items: { }, parents: { 35 } by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[];[]
4;14;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];87;93;8;1;0;18;0;[];14;0;10;1;0;1;1;7;0;0;0;0;0.0;210.0;15.333333333333334;8.28968253968254;18.0;8.0;7.0;9.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 8 (id=45) items: { }, parents: { 35 } by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[];[]
4;15;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];87;93;8;1;0;18;0;[];15;1;9;0;0;1;1;37;0;0;0;0;0.0;0.0;0.0;20.55;18.0;18.0;18.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Idea 8 (id=45) items: { }, parents: { 35 } by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[];[]
