min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;InnovNationGraph;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;persuasionGraph;tokenGraph
3;19;20;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26];193;7;11;1;0;5;0;[];19;10;0;0;0;0;0;73;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[19]:[19:12:-100:5:16]:[19:17:66:8]:[19:23:200:9:20]:[19:22:10:14]:[19:11:-10:14:14]:[19:4:-40:14]:[19:11:-210:15]:[19:8:250:15]:[19:14:-33:16:18]:[19:12:-75:17]];[[19]:[19:i39:1:4]:[19:i47:1:5]:[19:i58:1:5]:[19:i144:1:13]]
3;20;20;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26];193;7;11;1;0;5;0;[];20;10;0;0;0;0;0;72;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[20]:[20:21:400:11]:[20:4:25:14]:[20:9:-40:15]:[20:23:-66:9]:[20:11:-200:6]:[20:8:100:6]:[20:22:33:16:20]:[20:17:-150:18]:[20:17:50:8:17]];[[20]:[20:i78:4:10]:[20:i132:1:14]:[20:i61:2:16]:[20:i55:3:16]]
3;21;20;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26];193;7;11;1;0;5;0;[];21;10;0;1;0;0;0;7;0;0;0;0;0.0;0.0;0.0;0.0;19.0;19.0;19.0;19.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[21]:[21:16:200:8]:[21:9:-50:15]:[21:22:40:16]:[21:14:200:17]:[21:4:400:7]];[[21]:[21:i46:8:5]:[21:i28:2:7]:[21:i200:2:17]:[21:i199:7:20]]
3;22;20;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26];193;7;11;1;0;5;0;[];22;10;0;0;0;0;0;62;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[22]:[22:11:-100:14]:[22:14:20:19]:[22:23:-28:21]];[[22]:[22:i25:2:6]]
3;23;20;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26];193;7;11;1;0;5;0;[];23;10;0;0;0;0;0;43;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[23]:[23:12:33:17]:[23:4:40:14]:[23:11:-400:15]:[23:8:500:15]:[23:14:-50:16]];[[23]:[23:i62:2:9]:[23:i144:1:14]:[23:i39:2:21]]
3;26;20;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26];193;7;11;1;0;5;0;[];26;10;0;0;0;0;0;37;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[26]];[[26]]
4;2;21;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26:43];189;21;17;1;0;11;0;[[4:9:46:296:2:49:46:9:[[296:2:0]]]];2;10;0;4;0;0;0;216;0;0;7;0;0.0;0.0;0.0;0.0;5.0;5.0;5.0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
4;4;21;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26:43];189;21;17;1;0;11;0;[];4;10;0;3;0;0;0;35;0;0;3;0;2.0;0.0;0.0;0.0;2.0;19.0;19.0;19.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
4;6;21;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26:43];189;21;17;1;0;11;0;[];6;5;5;1;0;1;1;17;0;0;0;0;1.0;0.0;0.0;0.0;5.0;20.0;20.0;20.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
4;8;21;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26:43];189;21;17;1;0;11;0;[];8;9;1;0;0;1;1;33;0;0;0;0;0.0;0.0;0.0;0.0;19.0;19.0;19.0;19.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
