min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;nbVoteGraph;weightVoteGraph;persuasionGraph;InnovNationGraph;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;persuasionGraph;tokenGraph
5;8;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[];8;10;0;6;0;0;0;44;0;0;6;0;3.0;0.0;0.0;0.0;2.0;7.0;7.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The AVENGER (id=29) items: { }, parents: { 22 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[]
6;2;9;[2:3:4:5:6:7:8:30];76;14;14;1;0;13;0;[];[];[];[[2:36:6:[33]:8]:[6:8:36:6]:[5:36:33:6]];2;10;0;0;0;0;0;412;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Flic (id=36) items: { }, parents: { 33 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[]
6;3;9;[2:3:4:5:6:7:8:30];76;14;14;1;0;13;0;[];[];[];[];3;9;1;1;0;3;3;3;0;0;0;0;0.0;4.0;0.0;0.0;8.0;3.0;8.0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Flic (id=36) items: { }, parents: { 33 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[]
6;4;9;[2:3:4:5:6:7:8:30];76;14;14;1;0;13;0;[];[];[];[];4;10;0;2;0;1;0;20;0;0;0;0;6.0;0.0;3.5;0.0;1.0;8.0;1.0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Flic (id=36) items: { }, parents: { 33 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[]
6;5;9;[2:3:4:5:6:7:8:30];76;14;14;1;0;13;0;[];[];[];[];5;7;3;2;0;2;2;106;0;0;1;0;0.0;0.0;0.0;0.0;7.0;7.0;7.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Flic (id=36) items: { }, parents: { 33 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[]
6;6;9;[2:3:4:5:6:7:8:30];76;14;14;1;0;13;0;[];[];[];[];6;5;5;0;0;3;2;93;0;0;0;0;0.0;0.0;0.0;5.0;7.0;7.0;7.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Flic (id=36) items: { }, parents: { 33 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[]
6;7;9;[2:3:4:5:6:7:8:30];76;14;14;1;0;13;0;[];[];[];[];7;6;4;1;0;3;2;108;4;0;0;0;1.0;2.0;2.0;0.0;3.0;2.0;1.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Flic (id=36) items: { }, parents: { 33 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[]
6;8;9;[2:3:4:5:6:7:8:30];76;14;14;1;0;13;0;[];[];[];[];8;10;0;8;0;0;0;15;0;0;7;0;3.0;0.0;0.0;0.0;2.0;8.0;8.0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Flic (id=36) items: { }, parents: { 33 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[]
6;30;9;[2:3:4:5:6:7:8:30];76;14;14;1;0;13;0;[];[];[];[];30;9;1;0;0;1;1;27;0;0;0;0;0.0;0.0;0.0;1.5;8.0;8.0;8.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Flic (id=36) items: { }, parents: { 33 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[30]];[[30]]
7;2;9;[2:3:4:5:6:7:8:30];76;14;18;1;0;15;0;[];[];[];[[2:42:7:[1]:8]:[6:8:42:7]:[5:42:1:7]];2;10;0;0;0;0;0;465;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Lieu (id=42) items: { }, parents: { 1 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[]
