min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;nbVoteGraph;weightVoteGraph;persuasionGraph;InnovNationGraph;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;ideaGraph
5;18;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;18;4;266;1;4;0;3;2;0;0.6666666666666666;0.0;0.33333333333333337;2;5;5;8;0;[1659];6;0;0;0;0;0;0;0;0;0;-1474913923;0;0.0;0.0;0.0;3.3634720475E8;false;0;0;0;0;0;0;0;0;0;0;0;0;The AVENGER (id=29) items: { }, parents: { 22 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
5;19;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;19;5;268;4;4;0;0;0;0;0.0;0.0;0.0;0;0;0;5;0;[16];3;0;0;0;0;0;0;0;0;0;-1474664554;0;0.0;0.0;0.0;-7.37332277E8;false;0;0;0;0;0;0;0;0;0;0;0;0;The AVENGER (id=29) items: { }, parents: { 22 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
5;20;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;20;8;283;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;0;[9];3;0;0;0;2;1;1;0;0;0;-1474707158;0;0.0;0.5;0.0;-7.37353579E8;false;0;1;0;0;0;0;0;0;0;0;0;0;The AVENGER (id=29) items: { }, parents: { 22 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
5;22;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;22;8;293;3;3;0;0;0;0;0.0;0.0;0.0;0;0;0;10;0;[20];3;0;0;0;0;0;0;0;0;0;-1474630499;0;0.0;0.0;0.0;-7.373152495E8;true;2;1;0;0;0;0;0;0;0;0;0;0;The AVENGER (id=29) items: { }, parents: { 22 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
5;24;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;24;7;293;1;1;0;3;1;0;0.3333333333333333;0.0;0.6666666666666667;3;5;5;28;0;[1];3;0;0;0;0;0;0;0;0;0;-1474913923;0;0.0;0.0;0.0;-7.374569615E8;false;0;0;0;0;0;0;0;0;0;0;0;0;The AVENGER (id=29) items: { }, parents: { 22 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
5;29;8;[2:3:4:5:6:7:8];67;13;11;1;0;10;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;29;8;337;4;4;0;0;0;0;0.0;0.0;0.0;0;0;0;11;0;[22];2;0;0;0;0;0;0;0;0;0;-1474620453;0;0.0;0.0;0.0;-7.373102265E8;true;1;0;0;0;0;0;0;0;0;0;0;0;The AVENGER (id=29) items: { }, parents: { 22 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[29]:[29:22:1:5]:[29:8:1:5]]
6;1;9;[2:3:4:5:6:7:8:30];76;14;14;1;0;13;0;[];[];[];[[2:36:6:[33]:8]:[6:8:36:6]:[5:36:33:6]];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;6;0;[];0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;7;0;0;0;0;0;0;0;0;0;0;Flic (id=36) items: { }, parents: { 33 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
6;9;9;[2:3:4:5:6:7:8:30];76;14;14;1;0;13;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;9;5;206;1;1;0;1;0;1;0.0;1.0;0.0;0;0;0;19;0;[1];3;0;0;0;0;0;0;0;0;0;-1474913923;0;0.0;0.0;0.0;-7.374569615E8;false;0;1;0;0;0;0;0;0;0;0;0;0;Flic (id=36) items: { }, parents: { 33 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
6;10;9;[2:3:4:5:6:7:8:30];76;14;14;1;0;13;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;10;8;220;1;1;0;2;2;0;1.0;0.0;0.0;2;3;3;6;0;[1];3;0;0;0;0;0;0;0;0;0;-1474913923;0;0.0;0.0;0.0;-7.374569615E8;false;0;1;0;0;0;0;0;0;0;0;0;0;Flic (id=36) items: { }, parents: { 33 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
6;12;9;[2:3:4:5:6:7:8:30];76;14;14;1;0;13;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;12;3;233;1;1;0;1;0;0;0.0;0.0;1.0;0;0;0;11;0;[1];3;0;0;0;0;0;0;0;0;0;-1474913923;0;0.0;0.0;0.0;-7.374569615E8;false;0;0;0;0;0;0;0;0;0;0;0;0;Flic (id=36) items: { }, parents: { 33 } by Skyl (id=8) scores{ creativite 3.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
