min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;InnovNationGraph;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;ideaGraph
1;75;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];286;24;15;1;0;28;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;75;7;119;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;7;29;[49];2;0;0;0;4;4;4;4;4;4;1274807377;1274807377;0.0;2.0;2.0;6.374036885E8;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 15 (id=75) items: { }, parents: { 49 } by Wall-e  5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[75]:[75:49:1:1]:[75:7:1:1]]
2;1;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];257;53;18;1;0;52;0;[[4:29:55:179:6:102:55:29:[[179:6:1]]]];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;10;0;[];0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;2;0;0;0;0;0;0;0;0;0;0;on Idea 10 (by Wall-e  27) (id=102): "value of 142" +6 by Wall-e  27 (id=29) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
2;33;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];257;53;18;1;0;52;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;33;28;24;1;1;0;8;2;3;0.25;0.375;0.375;2;3;3;6;29;[1];2;0;0;0;0;0;0;0;0;0;1274740533;1274740533;0.0;0.0;0.0;6.373702665E8;false;0;2;0;0;0;0;0;0;0;0;0;0;on Idea 10 (by Wall-e  27) (id=102): "value of 142" +6 by Wall-e  27 (id=29) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
2;34;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];257;53;18;1;0;52;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;34;20;34;2;2;0;1;1;0;1.0;0.0;0.0;1;1;1;6;29;[33];2;0;0;0;8;0;8;2;0;2;1274764873;1274764873;0.0;4.0;1.0;6.373824365E8;false;0;3;0;0;0;0;0;0;0;0;0;0;on Idea 10 (by Wall-e  27) (id=102): "value of 142" +6 by Wall-e  27 (id=29) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
2;35;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];257;53;18;1;0;52;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;35;8;38;3;3;0;15;0;11;0.0;0.7333333333333333;0.2666666666666667;0;0;0;6;29;[34];2;0;0;0;1;0;1;1;0;1;1274775013;1274775013;0.0;0.5;0.5;6.373875065E8;false;0;2;0;0;0;0;0;0;0;0;0;0;on Idea 10 (by Wall-e  27) (id=102): "value of 142" +6 by Wall-e  27 (id=29) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
2;36;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];257;53;18;1;0;52;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;36;20;47;3;3;0;2;1;1;0.5;0.5;0.0;1;1;1;6;29;[34];2;0;0;0;1;0;1;1;0;1;1274775013;1274775013;0.0;0.5;0.5;6.373875065E8;true;1;0;0;0;0;0;0;0;0;0;0;0;on Idea 10 (by Wall-e  27) (id=102): "value of 142" +6 by Wall-e  27 (id=29) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
2;45;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];257;53;18;1;0;52;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;45;9;62;4;4;0;2;1;0;0.5;0.0;0.5;1;2;2;6;29;[35];2;0;0;0;15;0;15;0;0;0;1274778844;1274778844;0.0;7.5;0.0;6.37389422E8;false;0;1;0;0;0;0;0;0;0;0;0;0;on Idea 10 (by Wall-e  27) (id=102): "value of 142" +6 by Wall-e  27 (id=29) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
2;49;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];257;53;18;1;0;52;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;49;25;66;1;1;0;10;7;1;0.7;0.1;0.20000000000000004;7;16;16;6;29;[1];2;0;0;0;0;0;0;0;0;0;1274740533;1274740533;0.0;0.0;0.0;6.373702665E8;false;0;4;0;0;0;0;0;0;0;0;0;0;on Idea 10 (by Wall-e  27) (id=102): "value of 142" +6 by Wall-e  27 (id=29) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
2;50;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];257;53;18;1;0;52;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;50;8;69;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[49];2;0;0;0;10;0;10;7;0;7;1274807377;1274807377;0.0;5.0;3.5;6.374036885E8;false;0;1;0;0;0;0;0;0;0;0;0;0;on Idea 10 (by Wall-e  27) (id=102): "value of 142" +6 by Wall-e  27 (id=29) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
2;51;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];257;53;18;1;0;52;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;51;5;71;3;3;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[50];2;0;0;0;0;0;0;0;0;0;1274810471;1274810471;0.0;0.0;0.0;6.374052355E8;false;0;1;0;0;0;0;0;0;0;0;0;0;on Idea 10 (by Wall-e  27) (id=102): "value of 142" +6 by Wall-e  27 (id=29) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
