min;id;players;totalRemainingTokens;totalUsedTokens;totalIdeas;totalItems;totalComments;totalIdeasWithBets;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercréativité;playerpertinence;playerpersuasion;playeradaptation;rankcréativité;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;nbVoteGraph;weightVoteGraph
4;24;32;320;0;3;0;0;0;24;10;0;0;0;0;0;69;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[24]:[24:24:1:14:20]:[24:24:2:21]:[24:7:1:21]:[24:11:1:21]:[24:37:1:21]:[24:14:1:21]:[24:21:1:23]:[24:root:1:9]:[24:45:1:12]:[24:20:1:18]:[24:14:1:18:20]:[24:7:1:20:20]:[24:35:1:20]];[[24]:[24:24:2:14:20]:[24:24:0:21]:[24:7:-1:21]:[24:11:-2:21]:[24:37:-1:21]:[24:14:6:21]:[24:21:-10:23]:[24:root:6:9]:[24:45:2:12]:[24:20:-2:18]:[24:14:1:18:20]:[24:7:-1:20:20]:[24:35:2:20]]
4;25;32;320;0;3;0;0;0;25;10;0;0;0;0;0;69;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[25]:[25:2:1:9:23]:[25:2:2:24]:[25:42:1:10]:[25:11:1:13:20]:[25:24:1:19]:[25:23:1:20]:[25:37:1:20:23]:[25:11:1:21]:[25:7:1:24]:[25:37:1:24]:[25:2:1:8:8]];[[25]:[25:2:2:9:23]:[25:2:0:24]:[25:42:1:10]:[25:11:1:13:20]:[25:24:-2:19]:[25:23:1:20]:[25:37:-2:20:23]:[25:11:3:21]:[25:7:-2:24]:[25:37:-1:24]:[25:2:6:8:8]]
4;26;32;320;0;3;0;0;0;26;10;0;0;0;0;0;65;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[26]:[26:26:1:25]:[26:42:1:12:23]:[26:19:1:14:20]:[26:20:1:18]:[26:45:1:20]:[26:2:1:20:20]:[26:30:1:20]:[26:19:1:21:26]:[26:2:1:21]:[26:8:1:22:24]:[26:8:2:25]:[26:25:1:23]:[26:7:1:23]:[26:23:1:23]:[26:42:1:24]:[26:35:1:24:30]:[26:37:1:25]:[26:28:1:25:29]:[26:28:1:7:24]:[26:21:1:11:25]];[[26]:[26:26:2:25]:[26:42:3:12:23]:[26:19:2:14:20]:[26:20:-2:18]:[26:45:2:20]:[26:2:1:20:20]:[26:30:-2:20]:[26:19:2:21:26]:[26:2:-2:21]:[26:8:2:22:24]:[26:8:0:25]:[26:25:-1:23]:[26:7:-2:23]:[26:23:3:23]:[26:42:-3:24]:[26:35:2:24:30]:[26:37:-2:25]:[26:28:3:25:29]:[26:28:2:7:24]:[26:21:2:11:25]]
4;27;32;320;0;3;0;0;0;27;10;0;0;0;0;0;64;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[27]];[[27]]
4;28;32;320;0;3;0;0;0;28;10;0;0;0;0;0;63;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[28]:[28:28:1:23]:[28:15:1:8]:[28:20:1:21]:[28:7:1:21:22]:[28:37:1:21]:[28:root:1:7]:[28:7:1:23]];[[28]:[28:28:-10:23]:[28:15:5:8]:[28:20:-5:21]:[28:7:-5:21:22]:[28:37:10:21]:[28:root:5:7]:[28:7:10:23]]
4;29;32;320;0;3;0;0;0;29;10;0;0;0;0;0;59;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[29]:[29:29:1:27]:[29:19:2:19:22]:[29:25:1:15]:[29:7:1:15:18]:[29:7:2:19:26]:[29:14:1:27]:[29:23:1:19:26]:[29:21:1:23:27]:[29:23:1:28]:[29:19:1:23:28]:[29:2:1:23]:[29:15:1:23]:[29:2:1:6:22]:[29:11:1:27]:[29:7:1:27:27]:[29:21:1:28]:[29:35:1:27:27]:[29:23:1:27:27]:[29:35:1:28:29]:[29:24:1:28]:[29:7:1:28]:[29:7:1:7:14]:[29:19:1:13:18]];[[29]:[29:29:-15:27]:[29:19:2:19:22]:[29:25:-1:15]:[29:7:3:15:18]:[29:7:2:19:26]:[29:14:9:27]:[29:23:2:19:26]:[29:21:-2:23:27]:[29:23:-9:28]:[29:19:-2:23:28]:[29:2:6:23]:[29:15:12:23]:[29:2:3:6:22]:[29:11:9:27]:[29:7:-8:27:27]:[29:21:9:28]:[29:35:10:27:27]:[29:23:-9:27:27]:[29:35:-13:28:29]:[29:24:9:28]:[29:7:-9:28]:[29:7:2:7:14]:[29:19:3:13:18]]
4;30;32;320;0;3;0;0;0;30;10;0;0;0;0;0;58;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[30]:[30:21:1:9:9]:[30:21:2:10]:[30:25:1:22]:[30:root:1:22]:[30:23:1:22]:[30:35:1:22:24]:[30:35:2:25]:[30:7:1:25]:[30:7:1:7:24]:[30:2:1:7]];[[30]:[30:21:2:9:9]:[30:21:4:10]:[30:25:-1:22]:[30:root:-1:22]:[30:23:-1:22]:[30:35:3:22:24]:[30:35:5:25]:[30:7:-2:25]:[30:7:1:7:24]:[30:2:3:7]]
4;31;32;320;0;3;0;0;0;31;10;0;0;0;0;0;55;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[31]:[31:25:1:12:23]:[31:25:2:24]:[31:23:1:16]:[31:35:1:20]:[31:11:1:20]:[31:2:1:20]:[31:19:1:24]:[31:26:1:24]];[[31]:[31:25:5:12:23]:[31:25:15:24]:[31:23:5:16]:[31:35:-4:20]:[31:11:-1:20]:[31:2:1:20]:[31:19:-5:24]:[31:26:-5:24]]
4;32;32;320;0;3;0;0;0;32;10;0;0;0;0;0;55;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[32]];[[32]]
4;35;32;320;0;3;0;0;0;35;10;0;0;0;0;0;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[35]:[35:42:1:23]:[35:7:1:23]:[35:20:1:23]:[35:2:1:23]:[35:21:1:24]:[35:2:1:5:5]:[35:2:2:6:9]:[35:28:1:7]:[35:11:1:7]:[35:2:1:10:22]:[35:19:1:11]];[[35]:[35:42:2:23]:[35:7:-1:23]:[35:20:-1:23]:[35:2:-3:23]:[35:21:8:24]:[35:2:1:5:5]:[35:2:0:6:9]:[35:28:1:7]:[35:11:3:7]:[35:2:3:10:22]:[35:19:1:11]]
5;2;35;349;1;4;0;1;0;2;10;0;4;0;0;0;48;0;0;0;0;0.0;0.0;0.0;0.0;33.0;33.0;33.0;33.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
5;3;35;349;1;4;0;1;0;3;10;0;0;0;0;0;314;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
5;4;35;349;1;4;0;1;0;4;10;0;0;0;0;0;313;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
5;5;35;349;1;4;0;1;0;5;10;0;0;0;0;0;308;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
5;6;35;349;1;4;0;1;0;6;10;0;0;0;0;0;305;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
