min;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercréativité;playerpertinence;playerpersuasion;playeradaptation;rankcréativité;rankpertinence;rankpersuasion;rankadaptation
5;14;6;9;1;0;2;2;20.5714285714286;31;0;0;0;34;28;0;0.8;1;34;34;5
5;15;10;0;0;0;0;0;258.928571428571;0;0;0;0;0;0;0;0;0;0;0;0
5;16;5;7;1;0;2;2;28.9285714285714;0;0;0;0;0;75;0;2.5;34;32;34;3
5;17;6;5;0;0;2;2;87.3703703703704;0;0;0;0;0;116;0;0;34;32;34;33
5;18;8;2;1;0;3;1;23.2962962962963;0;0;0;0;0;44;0;0;34;33;34;33
5;19;6;4;1;0;2;1;53.3703703703704;0;0;0;0;0;28;0;4;34;5;34;1
5;20;10;2;1;0;4;1;24.7777777777778;0;0;0;0;0;0;10.8;0;34;34;1;34
5;21;10;0;1;0;0;0;96.3703703703704;0;0;1;0;0;0;0;0;32;32;32;32
5;22;10;0;0;0;0;0;247.37037037037;0;0;0;0;0;0;0;0;0;0;0;0
5;23;9;2;0;0;2;2;88.4074074074074;0;0;0;0;0;0;0;0;34;34;34;33
5;24;8;4;0;0;3;3;18.8148148148148;0;0;0;0;0;51;0;1;34;32;34;33
5;25;7;5;0;0;3;3;51.9259259259259;0;0;0;0;0;82;0;0;34;3;34;33
5;26;10;2;0;0;1;1;122.259259259259;0;0;0;0;0;0;0;1;34;34;34;5
5;27;10;6;1;0;2;2;28.6296296296296;0;0;0;0;6;30;0;0;34;34;34;33
5;28;7;5;0;0;3;3;20.7037037037037;0;0;0;0;0;52;0;0;34;12;34;33
5;29;10;0;1;0;0;0;35.9285714285714;0;0;0;0;0;0;0;0;34;34;34;33
5;30;10;0;0;0;0;0;217.928571428571;0;0;0;0;0;0;0;0;0;0;0;0
5;31;5;5;0;0;3;3;36.9285714285714;0;0;0;0;0;28;0;0;34;10;34;33
5;33;10;0;0;0;0;0;151.928571428571;0;0;0;0;0;0;0;0;0;0;0;0
5;35;2;10;0;0;9;8;11.9642857142857;0;0;0;0;0;80;0;-1;34;7;34;34
5;49;3;240;2;2;0;8;0;0;0;0;1;8;21;21;10;51;2;0;0
5;65;5;6;0;0;2;2;43.0714285714286;0;0;0;0;0;25;0;0;34;34;34;34
5;68;7;5;1;0;2;2;16.4642857142857;0;0;0;0;0;0;0;3;34;34;34;2
