IDBuyer;Day;Hour;Seller;Buyer;Prod;QualID;FinPrice;TransPrice;StdPrice;ProdPrice;Age;r;Qty;Quality;QualAdmId;IDAdmin;AdminPrice;Hour;supply;NewOffer;margBuyer;margSeller;VmargBuyer;VmargSeller;dem2;sup2;sup/dem;qty/dem;qty/off;BuyType;TypeXP;Idbuyer;dertrans
10032;1;202;9;32;0;0;24;17,03;17,03;17,03;1;Qty;4;0,317122;0;10000;0;200;0;0;0,409277745;0;1,637110981;0;200;271;1,4;0,02;0,014760148;B;XP4;10032;210
10033;1;210;19;33;0;0;20;15,35;15,35;15,35;1;Qty;10;0,130394;0;10000;0;210;0;0;0,302931596;0;3,029315961;0;200;271;1,4;0,05;0,036900369;B;XP4;10033;210
10032;1;210;11;32;0;1;24;17,87;17,87;17,87;1;Qty;6;0,232003;0;10000;0;210;0;0;0,343033016;0;2,058198097;0;200;271;1,4;0,03;0,022140221;B;XP4;10032;210
10064;1;214;1;64;0;3;32;30,16;30,16;17,17;0;Qty;1;0,639355;1;10100;43,1556;210;176;176;0,061007958;0,756552126;0,061007958;0,756552126;230;389;1,7;0,004347826;0,002570694;R;XP4;10164;260
10037;1;221;11;37;0;1;24;17,87;17,87;17,87;1;Qty;4;0,232003;0;10000;0;220;0;0;0,343033016;0;1,372132065;0;200;271;1,4;0,02;0,014760148;B;XP4;10037;220
10023;1;225;19;23;0;0;20;15,35;15,35;15,35;1;Qty;3;0,130394;0;10000;0;230;0;0;0,302931596;0;0,908794788;0;200;271;1,4;0,015;0,011070111;B;XP4;10023;230
10062;1;230;17;62;0;6;36;31,6;31,74;17,3;0;Qty;10;0,844711;2;10200;46,1878;230;372;372;0,139240506;0,826589595;1,392405063;8,265895954;70;377;5,4;0,142857143;0,026525199;R;XP4;10262;230
10056;1;243;17;56;0;6;36;31,6;31,74;17,3;0;Qty;6;0,844711;2;10200;46,1878;240;372;372;0,139240506;0,826589595;0,835443038;4,959537572;70;377;5,4;0,085714286;0,015915119;R;XP4;10256;270
10066;1;255;6;66;2;1;32;30,46;30,86;17,97;0;Qty;6;0,628591;1;12100;43,7525;260;283;283;0,050558109;0,695047301;0,303348654;4,170283806;230;528;2,3;0,026086957;0,011363636;R;XP4;12166;260
10055;1;257;1;55;0;4;32;30,16;31,79;17,41;0;Qty;10;0,705691;2;10200;46,1878;260;372;372;0,061007958;0,732337737;0,610079576;7,323377369;70;377;5,4;0,142857143;0,026525199;R;XP4;10255;260
