D;0;H;76;AgId;Money;Margin;MarginRate;NewMoney;NewMargin;NewMarginRate;m_pNbPerceivedQuality;m_pTypeAgent;m_pCurrentSeller;m_pLastListenTime;m_pLeaveAfterTime;m_pArrivalTime;m_pFinishedTime;m_pElapsedTime;m_pTotalTime;m_pMakeTrustAgreements;m_pMaxQueueLength;m_pAveragePriceMarket;m_nNbUsualSellerPerProduct;m_pSpeed;m_pNegociationPart;m_pNegotiationEvolutionSpeed;m_pProbaVisitOtherSeller;m_pCompetitorImpact;m_pRigidityFactor;m_pNbNegOtherProductsUsualSeller;m_pNbNegOtherProducts;m_pNegociationPart;m_pMinimumMargin;m_pMinNbOfVisitedSellerBeforeBuy;m_pProbChangeProductResto;m_pMarketTour;m_pMarketTourNext;m_pTotalBoughtQuantity;GraphNbVisitToday;GraphBoughtToday;m_pBoughtQuantity;m_pBasicPrice;m_pPowerQual;m_pPrixQual;m_pMinimumQuality;m_pNeededQuantity;m_pTrustAgreementQuality;m_pMarketToursToday;m_pHasTrustAgreement;m_pToNegEverywhere;m_pTrustAgreementPrice;m_pIsInPrefferedList;m_pDayOfLastTransaction;m_pNbVisitToday;m_pNbVisitTodaySup0;m_pVisitedSellers;
D;1;H;0;117;-636.6;43.4;0.0681747;636.6;43.4;0.0681747;5;BuyerTF;00000000;5.15;0.2;5;5.15;0.15;2.5;0;8;10;3;0.75;0.138029;0.0986994;1;5;0.264659;0.01;1;0.138029;0.05;1;0.01;1;3;20;[[117:10:1]:[117:13:1]:];[[117:10:10]:[117:13:10]:];10;2;1;20;0.7;0;0;0;0;1;0;0.15;-6;0.1;1;2;
D;1;H;1;40;-232.02;147.98;0.63779;232.02;147.98;0.63779;5;BuyerBarbes;00000000;5.65;0.2;5.02286;5.66667;0.643803;2.5;0;8;10;3;0.75;0.111646;0.0361298;0.106991;5;0.359367;0.01;1;0.111646;0.05;1;0.01;0;0;19;[[40:3:1]:[40:4:1]:[40:5:1]:[40:9:1]:[40:10:1]:[40:12:1]:[40:13:1]:[40:14:1]:[40:16:1]:[40:17:1]:[40:18:1]:];[[40:9:3]:[40:10:7]:[40:16:9]:];9.5;2;1;20;0;0.5;0;1.5;0;0.5;0;0.2;-5.9;0.55;1;11;
D;1;H;2;24;-262.52;137.48;0.523693;262.52;137.48;0.523693;5;BuyerBarbes;00000000;5.75;0.2;5.04042;5.75;0.709579;2.5;0;8;10;3;0.75;0.122638;0.0307316;0.106543;5;0.49562;0.01;1;0.122638;0.05;1;0.01;1;7;20;[[24:1:1]:[24:3:1]:[24:4:1]:[24:5:1]:[24:6:1]:[24:7:1]:[24:11:1]:[24:15:1]:[24:20:1]:];[[24:1:7]:[24:6:12]:[24:7:1]:];10;2;1;20;0;0;0;1;0;0.5;0;0.15;-5.9;0.45;1;9;
D;1;H;2;52;-125.5;74.5;0.593625;125.5;74.5;0.593625;5;BuyerBarbes;00000000;5.39972;0.2;5.04352;5.41639;0.372865;2.5;0;8;10;3;0.75;0.0781597;0.0395364;0.0493107;5;0.721291;0.01;1;0.0781597;0.05;1;0.01;0;0;10;[[52:7:1]:[52:10:1]:[52:12:1]:[52:14:1]:[52:15:1]:[52:16:1]:[52:17:1]:];[[52:12:10]:];5;2;1;20;0.1;5;0;1;0;0.5;0;0.1;-6.05;0.35;1;7;
D;1;H;4;93;-297.45;-17.45;-0.0586653;297.45;-17.45;-0.0586653;5;BuyerResto;00000000;5.68333;0.2;5.06962;5.7;0.630375;2.5;1;8;10;1;0.75;0.107121;0.0547843;0.0566696;5;0.661985;0.01;1;0.107121;-0.95;1;0.01;0;0;10;[[93:2:1]:[93:7:1]:[93:8:1]:[93:9:1]:[93:11:1]:[93:13:1]:[93:14:1]:[93:15:1]:[93:16:1]:[93:17:1]:];[[93:14:1]:[93:17:9]:];5;2;1;20;0.6;5;0;1.5;0;0.5;0;0.05;-5.9;0.5;1;10;
D;1;H;5;41;-351.4;88.6;0.252134;351.4;88.6;0.252134;5;BuyerBarbes;00000000;5.66667;0.2;5.08416;5.66667;0.582504;2.5;0;8;10;3;0.75;0.0696905;0.0251668;0.108296;5;0.699467;0.01;1;0.0696905;0.05;1;0.01;1;14;20;[[41:4:1]:[41:5:1]:[41:6:2]:[41:8:1]:[41:12:1]:[41:13:1]:[41:14:1]:[41:19:1]:];[[41:8:10]:[41:14:10]:];10;2;1;20;0.1;0;0;0.5;0;0.5;0;0.15;-6;0.45;1.125;8;
D;1;H;5;114;-473.8;86.2;0.181933;473.8;86.2;0.181933;5;BuyerTF;00000000;5.28333;0.2;5.09308;5.3;0.206923;2.5;0;8;10;3;0.75;0.0950713;0.0644143;1;5;0.135209;0.01;1;0.0950713;0.05;1;0.01;1;13;20;[[114:9:1]:[114:10:1]:[114:15:1]:];[[114:9:10]:[114:15:10]:];10;2;1;20;0.4;0;0;0;0;1;0;0.15;-6;0.15;1;3;
D;1;H;8;39;-366;234;0.639344;366;234;0.639344;5;BuyerBarbes;00000000;5.31667;0.2;5.13502;5.31667;0.181648;2.5;0;8;10;3;0.75;0.196261;0.0419207;0.0826282;5;0.620808;0.01;1;0.196261;0.05;1;0.01;1;6;30;[[39:6:1]:[39:15:1]:];[[39:6:30]:];15;2;1;20;0;-5;0;1;0;1;0;0.1;-6;0.1;1;2;
D;1;H;10;26;-443;77;0.173815;443;77;0.173815;5;BuyerBarbes;00000000;5.6;0.2;5.18171;5.6;0.418287;2.5;0;8;10;3;0.75;0.0884717;0.0729681;0.116773;5;0.461709;0.01;1;0.0884717;0.05;1;0.01;1;18;20;[[26:3:1]:[26:4:1]:[26:5:1]:[26:6:1]:[26:10:1]:[26:12:1]:[26:13:1]:[26:14:1]:[26:18:1]:];[[26:10:10]:[26:18:10]:];10;2;1;20;0.3;0;0;0.5;0;0.5;0;0.1;-6;0.45;1;9;
D;1;H;10;115;-217.81;54.19;0.248795;217.81;54.19;0.248795;5;BuyerTF;00000000;6.31667;0.2;5.1782;6.44972;1.27152;2.5;0;8;10;3;0.75;0.0275729;0.0521084;1;5;0.152885;0.01;1;0.0275729;0.05;1;0.01;0;6;11;[[115:1:1]:[115:2:1]:[115:3:1]:[115:4:1]:[115:5:1]:[115:6:1]:[115:7:1]:[115:8:1]:[115:9:1]:[115:10:1]:[115:11:1]:[115:12:1]:[115:13:1]:[115:14:1]:[115:15:1]:[115:16:2]:[115:17:1]:[115:18:1]:[115:19:1]:[115:20:1]:];[[115:7:1]:[115:10:10]:];5.5;2;1;20;0.4;4.5;0;0;0;0.5;0;0.15;-6;1.05;1.05;20;
