Day;Seller;NbBuyer;MoyHour;SumQty;NbProd;MoyTransPrice;MoyFinPrice;MoyQualID;MoyStdPrice;MoyProdPrice;MoyAge;MoyQuality;MoyQty;MoyQualAdmId;MoyIDAdmin;MoyAdminPrice;Moysupply;MoyHour2;MoymargBuyer;MoyNewOffer;MoymargSeller;MoyVmargBuyer;MoyVmargSeller;Moydem2;Moysup2;Moysup/dem;Moyqty/dem;Moyqty/off;SumVmargBuyer;SumVmargSeller;Moydertrans
3;5;6;60.3333333333333;42;6;23.155;30.6666666666667;1;23.105;17.4083333333333;0.833333333333333;0.6162335;7;1.16666666666667;32116.6666666667;24.5350833333333;945.666666666667;61.6666666666667;0.323772768333333;278.5;0.3313670085;2.30033385633333;2.28505557666667;203.333333333333;781.833333333333;4.13333333333333;0.0469979295;0.0100537993333333;13.802003138;13.71033346;121.666666666667
3;6;5;121.8;36;5;21.534;26.4;0.8;22.878;16.852;0.6;0.44735994;7.2;0.8;31680;24.0018;596.2;124;0.2430933596;175.2;0.2757246064;1.8058010906;2.0722581392;186;597;3.6;0.0527453416;0.0129680436;9.029005453;10.361290696;136
3;7;10;87.6;68;10;19.463;25.6;1.6;21.704;17.128;1.4;0.43164613;6.8;0.7;31570;23.87823;312.3;89;0.3033994745;96.3;0.1447611548;2.5226266852;0.9646028229;163.8;434.3;3.66;0.0702550618;0.0201620941;25.226266852;9.646028229;131
3;8;9;92.3333333333333;80;9;19.85;23.5555555555556;0.888888888888889;20.1633333333333;16.7433333333333;1.66666666666667;0.306830888888889;8.88888888888889;0.222222222222222;32022.2222222222;23.1229222222222;486.444444444444;92.2222222222222;0.183229568111111;58.8888888888889;0.185328693777778;1.73218473744444;1.69944134155556;206.666666666667;694.444444444444;3.38888888888889;0.0429951691111111;0.0128707891111111;15.589662637;15.294972074;161.111111111111
3;9;1;167;6;1;18.18;20;0;20.59;17.51;2;0.188799;6;0;31000;21.0208;216;170;0.100110011;0;0.038263849;0.600660066;0.229583095;220;143;0.7;0.027272727;0.041958042;0.600660066;0.229583095;170
3;10;9;139.333333333333;80;9;20.4322222222222;30.6666666666667;3.55555555555556;20.4944444444444;16.91;0.333333333333333;0.569007611111111;8.88888888888889;1;31988.8888888889;24.0918333333333;888.888888888889;138.888888888889;0.494636098555556;244.555555555556;0.208102475444444;4.62540821111111;1.85793449822222;211.111111111111;726;3.65555555555556;0.049777276;0.0142549805555556;41.6286739;16.721410484;171.111111111111
3;11;13;117.769230769231;99;13;21.0061538461539;26.1538461538462;2.76923076923077;21.7115384615385;17.04;0.461538461538462;0.505675;7.61538461538461;1.23076923076923;30123.0769230769;26.3863461538462;292.076923076923;119.230769230769;0.253473193461538;212.538461538462;0.248235202153846;1.80954695630769;1.982200021;163.846153846154;315.846153846154;2.83846153846154;0.0629120879230769;0.0251957933846154;23.524110432;25.768600273;150.769230769231
3;12;14;144.071428571429;102;14;22.8664285714286;28;1.85714285714286;24.45;19.6271428571429;1.14285714285714;0.604373071428571;7.28571428571429;1.35714285714286;31135.7142857143;25.5432714285714;306;143.571428571429;0.216088758428571;168.357142857143;0.170135597785714;1.68237170592857;1.3401603075;124.428571428571;298.928571428571;4.54285714285714;0.100874059571429;0.0288041258571429;23.553203883;18.762244305;165.714285714286
3;13;8;96.125;73;8;22.23875;31.5;0.75;22.69875;17.49875;0.25;0.761449375;9.125;1.75;30175;27.908375;342.5;97.5;0.410394944875;311.75;0.27277598825;3.667529210625;2.460005557375;110;354.25;4.325;0.1067546585;0.02593025075;29.340233685;19.680044459;136.25
3;14;7;204;55;7;20.7585714285714;27.4285714285714;3;21.64;16.6928571428571;0.857142857142857;0.583210714285714;7.85714285714286;1.42857142857143;30714.2857142857;26.5916;530;205.714285714286;0.320937002571429;283.142857142857;0.248082208857143;2.29350568471429;1.73448857385714;134.285714285714;480.857142857143;4.22857142857143;0.0705856255714286;0.0204300837142857;16.054539793;12.141420017;242.857142857143
