min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;nbVoteGraph;weightVoteGraph;persuasionGraph;InnovNationGraph;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract
7;2;9;[2:3:4:5:6:7:8:30];76;14;18;1;0;15;0;[];[];[];[[2:37:7:[32]:6]:[6:6:37:7]:[5:37:32:7]:[4:4:32:7:0:38:32:4:[[7:0:0]]]:[2:39:7:[32]:8]:[6:8:39:7]:[5:39:32:7]:[4:5:36:7:0:40:36:5:[[7:0:-1]]]:[2:41:7:[32]:4]:[6:4:41:7]:[5:41:32:7]:[2:42:7:[1]:8]:[6:8:42:7]:[5:42:1:7]];2;10;0;0;0;0;0;465;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;3;9;[2:3:4:5:6:7:8:30];76;14;18;1;0;15;0;[];[];[];[];3;9;1;1;0;3;3;56;0;0;0;0;0.0;4.0;0.0;0.0;8.0;3.0;8.0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;4;9;[2:3:4:5:6:7:8:30];76;14;18;1;0;15;0;[[4:4:1:7]:[4:4:1:4:6]];[[4:4:0:7]:[4:4:0:4:6]];[];[];4;10;0;3;0;2;0;13;0;0;3;0;6.0;0.0;3.5;0.0;1.0;8.0;1.0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;5;9;[2:3:4:5:6:7:8:30];76;14;18;1;0;15;0;[[5:8:1:7]];[[5:8:0:7]];[];[];5;7;3;2;0;3;2;28;0;0;1;0;1.0;8.0;0.0;0.0;4.0;1.0;8.0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;6;9;[2:3:4:5:6:7:8:30];76;14;18;1;0;15;0;[];[];[];[];6;5;5;1;0;3;2;46;0;0;0;0;0.0;3.0;1.0;5.0;8.0;4.0;3.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;7;9;[2:3:4:5:6:7:8:30];76;14;18;1;0;15;0;[];[];[];[];7;6;4;1;0;3;2;161;4;0;0;0;1.0;2.0;2.0;0.0;3.0;2.0;1.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;8;9;[2:3:4:5:6:7:8:30];76;14;18;1;0;15;0;[];[];[];[];8;10;0;10;0;0;0;33;0;0;7;0;3.0;0.0;0.0;0.0;2.0;8.0;8.0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;30;9;[2:3:4:5:6:7:8:30];76;14;18;1;0;15;0;[];[];[];[];30;9;1;0;0;1;1;80;0;0;0;0;0.0;0.0;0.0;1.5;8.0;8.0;8.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;2;9;[2:3:4:5:6:7:8:30];65;25;24;1;0;18;0;[];[];[];[[2:43:8:[42]:8]:[6:8:43:8]:[5:43:42:8]:[2:44:8:[1]:30]:[6:30:44:8]:[5:44:1:8]:[2:45:8:[42]:8]:[6:8:45:8]:[5:45:42:8]:[4:6:41:8:2:46:41:6:[[8:2:-1]]]:[2:47:8:[42]:8]:[6:8:47:8]:[5:47:42:8]:[4:30:44:8:9:48:44:30:[[8:9:1]]]:[2:49:8:[42]:4]:[6:4:49:8]:[5:49:42:8]:[2:50:8:[1]:5]:[6:5:50:8]:[5:50:1:8]:[4:4:49:8:0:51:49:4:[[8:0:1]]]];2;10;0;0;0;0;0;533;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;3;9;[2:3:4:5:6:7:8:30];65;25;24;1;0;18;0;[];[];[];[];3;9;1;1;0;3;3;124;0;0;0;0;0.0;4.0;0.0;0.0;8.0;3.0;8.0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
