IDBuyer;run;r;Day;r;Hour;r;r;Seller;r;Buyer;r;Prod;Qte/dem;QualID;r;FinPrice;r;TransPrice;r;StdPrice;suply/demand;ProdPrice;sup2/dem2;Age;r;Qty;margStdPr;Quality;QualAdmId;IDAdmin;AdminPrice;Hour;supply;NewOffer;margBuyer;margSeller;VmargBuyer;VmargSeller;dem2;sup2;sup/dem;qty/dem;qty/off;BuyType;TypeXP;Idbuyer;dertrans
10041;;D;1;H;109;Trans;From;17;To;41;Pr;0;Qual;6;FinPrice;36;Price;31,6;StdPrice;31,6;BuyPrice;17,02;Age;0;Qty;10;Qual;0,811664;2;10200;46,1878;110;372;372;0,139240506;0,856639248;1,392405063;8,566392479;70;377;5,4;0,142857143;0,026525199;N;XP4;10241;110
10066;;D;1;H;110;Trans;From;3;To;66;Pr;1;Qual;2;FinPrice;32;Price;29,97;StdPrice;29,97;BuyPrice;15,45;Age;0;Qty;9;Qual;0,638694;1;11100;44,4944;110;165;165;0,067734401;0,939805825;0,60960961;8,458252427;230;383;1,7;0,039130435;0,023498695;R;XP4;11166;260
10029;;D;1;H;110;Trans;From;8;To;29;Pr;0;Qual;1;FinPrice;20;Price;14,47;StdPrice;17,8;BuyPrice;17,81;Age;1;Qty;10;Qual;0,323995;0;10000;0;110;0;0;0,382170007;-0,187535093;3,821700069;-1,875350926;200;271;1,4;0,05;0,036900369;B;XP4;10029;190
10049;;D;1;H;111;Trans;From;13;To;49;Pr;0;Qual;1;FinPrice;32;Price;29,93;StdPrice;29,93;BuyPrice;16,72;Age;0;Qty;1;Qual;0,616976;1;10100;43,1556;110;176;176;0,069161377;0,79007177;0,069161377;0,79007177;230;389;1,7;0,004347826;0,002570694;N;XP4;10149;110
10050;;D;1;H;111;Trans;From;6;To;50;Pr;2;Qual;1;FinPrice;32;Price;30,46;StdPrice;30,46;BuyPrice;17,17;Age;1;Qty;5;Qual;0,605208;1;12100;43,7525;110;283;283;0,050558109;0,774024461;0,252790545;3,870122306;230;528;2,3;0,02173913;0,009469697;N;XP4;12150;160
10027;;D;1;H;112;Trans;From;7;To;27;Pr;1;Qual;0;FinPrice;20;Price;14,94;StdPrice;14,94;BuyPrice;14,94;Age;1;Qty;8;Qual;0,123843;0;11000;0;110;0;0;0,338688086;0;2,709504685;0;220;101;0,5;0,036363636;0,079207921;B;XP4;11027;110
10060;;D;1;H;114;Trans;From;15;To;60;Pr;1;Qual;2;FinPrice;36;Price;33,6;StdPrice;33,6;BuyPrice;18,01;Age;0;Qty;2;Qual;0,855894;2;11200;49,206;110;202;202;0,071428571;0,865630205;0,142857143;1,731260411;50;201;4;0,04;0,009950249;R;XP4;11260;110
10039;;D;1;H;115;Trans;From;8;To;39;Pr;0;Qual;1;FinPrice;20;Price;14,47;StdPrice;17,8;BuyPrice;17,81;Age;1;Qty;4;Qual;0,323995;0;10000;0;120;0;0;0,382170007;-0,187535093;1,528680028;-0,750140371;200;271;1,4;0,02;0,014760148;B;XP4;10039;170
10030;;D;1;H;117;Trans;From;16;To;30;Pr;1;Qual;1;FinPrice;24;Price;16,23;StdPrice;16,23;BuyPrice;16,23;Age;1;Qty;10;Qual;0,249344;0;11000;0;120;0;0;0,478743068;0;4,787430684;0;220;101;0,5;0,045454545;0,099009901;B;XP4;11030;120
10057;;D;1;H;119;Trans;From;19;To;57;Pr;0;Qual;1;FinPrice;32;Price;29,6;StdPrice;33,35;BuyPrice;20,52;Age;0;Qty;7;Qual;0,9999;2;10200;46,1878;120;372;372;0,081081081;0,442495127;0,567567568;3,097465887;70;377;5,4;0,1;0,018567639;R;XP4;10257;120
10044;;D;1;H;119;Trans;From;13;To;44;Pr;0;Qual;1;FinPrice;32;Price;29,93;StdPrice;29,93;BuyPrice;16,72;Age;0;Qty;9;Qual;0,616976;1;10100;43,1556;120;176;176;0,069161377;0,79007177;0,622452389;7,110645933;230;389;1,7;0,039130435;0,023136247;N;XP4;10144;120
10044;;D;1;H;121;Trans;From;11;To;44;Pr;0;Qual;3;FinPrice;32;Price;30,21;StdPrice;30,21;BuyPrice;17,27;Age;0;Qty;1;Qual;0,654675;1;10100;43,1556;120;176;176;0,059251903;0,749276202;0,059251903;0,749276202;230;389;1,7;0,004347826;0,002570694;N;XP4;10144;120
10046;;D;1;H;121;Trans;From;17;To;46;Pr;0;Qual;6;FinPrice;36;Price;31,6;StdPrice;31,6;BuyPrice;17,02;Age;0;Qty;2;Qual;0,811664;2;10200;46,1878;120;372;372;0,139240506;0,856639248;0,278481013;1,713278496;70;377;5,4;0,028571429;0,00530504;N;XP4;10246;120
10039;;D;1;H;122;Trans;From;10;To;39;Pr;1;Qual;1;FinPrice;24;Price;15,62;StdPrice;15,62;BuyPrice;15,62;Age;1;Qty;10;Qual;0,247455;0;11000;0;120;0;0;0,536491677;0;5,364916773;0;220;101;0,5;0,045454545;0,099009901;B;XP4;11039;170
10022;;D;1;H;122;Trans;From;6;To;22;Pr;0;Qual;0;FinPrice;24;Price;14,51;StdPrice;14,51;BuyPrice;14,51;Age;1;Qty;1;Qual;0,284663;0;10000;0;120;0;0;0,654031702;0;0,654031702;0;200;271;1,4;0,005;0,003690037;B;XP4;10022;180
10066;;D;1;H;126;Trans;From;6;To;66;Pr;2;Qual;1;FinPrice;32;Price;30,46;StdPrice;28,32;BuyPrice;12,89;Age;0;Qty;4;Qual;0,614907;1;12100;43,7525;130;283;283;0,050558109;1,363072149;0,202232436;5,452288596;230;528;2,3;0,017391304;0,007575758;R;XP4;12166;260
10045;;D;1;H;127;Trans;From;6;To;45;Pr;2;Qual;1;FinPrice;32;Price;30,46;StdPrice;30,86;BuyPrice;17,97;Age;0;Qty;10;Qual;0,628591;1;12100;43,7525;130;283;283;0,050558109;0,695047301;0,50558109;6,950473011;230;528;2,3;0,043478261;0,018939394;N;XP4;12145;150
10042;;D;1;H;127;Trans;From;13;To;42;Pr;0;Qual;1;FinPrice;32;Price;29,93;StdPrice;32,41;BuyPrice;18,65;Age;0;Qty;10;Qual;0,689482;2;10200;46,1878;130;372;372;0,069161377;0,604825737;0,691613765;6,048257373;70;377;5,4;0,142857143;0,026525199;N;XP4;10242;130
10039;;D;1;H;136;Trans;From;2;To;39;Pr;0;Qual;0;FinPrice;20;Price;14,87;StdPrice;14,87;BuyPrice;14,87;Age;1;Qty;3;Qual;0,1713;0;10000;0;140;0;0;0,344989913;0;1,034969738;0;200;271;1,4;0,015;0,011070111;B;XP4;10039;170
